Country ,County_Province,Population
USA,".Autauga County, Alabama","55,869"
USA,".Baldwin County, Alabama","223,234"
USA,".Barbour County, Alabama","24,686"
USA,".Bibb County, Alabama","22,394"
USA,".Blount County, Alabama","57,826"
USA,".Bullock County, Alabama","10,101"
USA,".Butler County, Alabama","19,448"
USA,".Calhoun County, Alabama","113,605"
USA,".Chambers County, Alabama","33,254"
USA,".Cherokee County, Alabama","26,196"
USA,".Chilton County, Alabama","44,428"
USA,".Choctaw County, Alabama","12,589"
USA,".Clarke County, Alabama","23,622"
USA,".Clay County, Alabama","13,235"
USA,".Cleburne County, Alabama","14,910"
USA,".Coffee County, Alabama","52,342"
USA,".Colbert County, Alabama","55,241"
USA,".Conecuh County, Alabama","12,067"
USA,".Coosa County, Alabama","10,663"
USA,".Covington County, Alabama","37,049"
USA,".Crenshaw County, Alabama","13,772"
USA,".Cullman County, Alabama","83,768"
USA,".Dale County, Alabama","49,172"
USA,".Dallas County, Alabama","37,196"
USA,".DeKalb County, Alabama","71,513"
USA,".Elmore County, Alabama","81,209"
USA,".Escambia County, Alabama","36,633"
USA,".Etowah County, Alabama","102,268"
USA,".Fayette County, Alabama","16,302"
USA,".Franklin County, Alabama","31,362"
USA,".Geneva County, Alabama","26,271"
USA,".Greene County, Alabama","8,111"
USA,".Hale County, Alabama","14,651"
USA,".Henry County, Alabama","17,205"
USA,".Houston County, Alabama","105,882"
USA,".Jackson County, Alabama","51,626"
USA,".Jefferson County, Alabama","658,573"
USA,".Lamar County, Alabama","13,805"
USA,".Lauderdale County, Alabama","92,729"
USA,".Lawrence County, Alabama","32,924"
USA,".Lee County, Alabama","164,542"
USA,".Limestone County, Alabama","98,915"
USA,".Lowndes County, Alabama","9,726"
USA,".Macon County, Alabama","18,068"
USA,".Madison County, Alabama","372,909"
USA,".Marengo County, Alabama","18,863"
USA,".Marion County, Alabama","29,709"
USA,".Marshall County, Alabama","96,774"
USA,".Mobile County, Alabama","413,210"
USA,".Monroe County, Alabama","20,733"
USA,".Montgomery County, Alabama","226,486"
USA,".Morgan County, Alabama","119,679"
USA,".Perry County, Alabama","8,923"
USA,".Pickens County, Alabama","19,930"
USA,".Pike County, Alabama","33,114"
USA,".Randolph County, Alabama","22,722"
USA,".Russell County, Alabama","57,961"
USA,".St. Clair County, Alabama","89,512"
USA,".Shelby County, Alabama","217,702"
USA,".Sumter County, Alabama","12,427"
USA,".Talladega County, Alabama","79,978"
USA,".Tallapoosa County, Alabama","40,367"
USA,".Tuscaloosa County, Alabama","209,355"
USA,".Walker County, Alabama","63,521"
USA,".Washington County, Alabama","16,326"
USA,".Wilcox County, Alabama","10,373"
USA,".Winston County, Alabama","23,629"
USA,".Aleutians East Borough, Alaska","3,337"
USA,".Aleutians West Census Area, Alaska","5,634"
USA,".Anchorage Municipality, Alaska","288,000"
USA,".Bethel Census Area, Alaska","18,386"
USA,".Bristol Bay Borough, Alaska",836
USA,".Denali Borough, Alaska","2,097"
USA,".Dillingham Census Area, Alaska","4,916"
USA,".Fairbanks North Star Borough, Alaska","96,849"
USA,".Haines Borough, Alaska","2,530"
USA,".Hoonah-Angoon Census Area, Alaska","2,148"
USA,".Juneau City and Borough, Alaska","31,974"
USA,".Kenai Peninsula Borough, Alaska","58,708"
USA,".Ketchikan Gateway Borough, Alaska","13,901"
USA,".Kodiak Island Borough, Alaska","12,998"
USA,".Kusilvak Census Area, Alaska","8,314"
USA,".Lake and Peninsula Borough, Alaska","1,592"
USA,".Matanuska-Susitna Borough, Alaska","108,317"
USA,".Nome Census Area, Alaska","10,004"
USA,".North Slope Borough, Alaska","9,832"
USA,".Northwest Arctic Borough, Alaska","7,621"
USA,".Petersburg Borough, Alaska","3,266"
USA,".Prince of Wales-Hyder Census Area, Alaska","6,203"
USA,".Sitka City and Borough, Alaska","8,493"
USA,".Skagway Municipality, Alaska","1,183"
USA,".Southeast Fairbanks Census Area, Alaska","6,893"
USA,".Valdez-Cordova Census Area, Alaska","9,202"
USA,".Wrangell City and Borough, Alaska","2,502"
USA,".Yakutat City and Borough, Alaska",579
USA,".Yukon-Koyukuk Census Area, Alaska","5,230"
USA,".Apache County, Arizona","71,887"
USA,".Cochise County, Arizona","125,922"
USA,".Coconino County, Arizona","143,476"
USA,".Gila County, Arizona","54,018"
USA,".Graham County, Arizona","38,837"
USA,".Greenlee County, Arizona","9,498"
USA,".La Paz County, Arizona","21,108"
USA,".Maricopa County, Arizona","4,485,414"
USA,".Mohave County, Arizona","212,181"
USA,".Navajo County, Arizona","110,924"
USA,".Pima County, Arizona","1,047,279"
USA,".Pinal County, Arizona","462,789"
USA,".Santa Cruz County, Arizona","46,498"
USA,".Yavapai County, Arizona","235,099"
USA,".Yuma County, Arizona","213,787"
USA,".Arkansas County, Arkansas","17,486"
USA,".Ashley County, Arkansas","19,657"
USA,".Baxter County, Arkansas","41,932"
USA,".Benton County, Arkansas","279,141"
USA,".Boone County, Arkansas","37,432"
USA,".Bradley County, Arkansas","10,763"
USA,".Calhoun County, Arkansas","5,189"
USA,".Carroll County, Arkansas","28,380"
USA,".Chicot County, Arkansas","10,118"
USA,".Clark County, Arkansas","22,320"
USA,".Clay County, Arkansas","14,551"
USA,".Cleburne County, Arkansas","24,919"
USA,".Cleveland County, Arkansas","7,956"
USA,".Columbia County, Arkansas","23,457"
USA,".Conway County, Arkansas","20,846"
USA,".Craighead County, Arkansas","110,332"
USA,".Crawford County, Arkansas","63,257"
USA,".Crittenden County, Arkansas","47,955"
USA,".Cross County, Arkansas","16,419"
USA,".Dallas County, Arkansas","7,009"
USA,".Desha County, Arkansas","11,361"
USA,".Drew County, Arkansas","18,219"
USA,".Faulkner County, Arkansas","126,007"
USA,".Franklin County, Arkansas","17,715"
USA,".Fulton County, Arkansas","12,477"
USA,".Garland County, Arkansas","99,386"
USA,".Grant County, Arkansas","18,265"
USA,".Greene County, Arkansas","45,325"
USA,".Hempstead County, Arkansas","21,532"
USA,".Hot Spring County, Arkansas","33,771"
USA,".Howard County, Arkansas","13,202"
USA,".Independence County, Arkansas","37,825"
USA,".Izard County, Arkansas","13,629"
USA,".Jackson County, Arkansas","16,719"
USA,".Jefferson County, Arkansas","66,824"
USA,".Johnson County, Arkansas","26,578"
USA,".Lafayette County, Arkansas","6,624"
USA,".Lawrence County, Arkansas","16,406"
USA,".Lee County, Arkansas","8,857"
USA,".Lincoln County, Arkansas","13,024"
USA,".Little River County, Arkansas","12,259"
USA,".Logan County, Arkansas","21,466"
USA,".Lonoke County, Arkansas","73,309"
USA,".Madison County, Arkansas","16,576"
USA,".Marion County, Arkansas","16,694"
USA,".Miller County, Arkansas","43,257"
USA,".Mississippi County, Arkansas","40,651"
USA,".Monroe County, Arkansas","6,701"
USA,".Montgomery County, Arkansas","8,986"
USA,".Nevada County, Arkansas","8,252"
USA,".Newton County, Arkansas","7,753"
USA,".Ouachita County, Arkansas","23,382"
USA,".Perry County, Arkansas","10,455"
USA,".Phillips County, Arkansas","17,782"
USA,".Pike County, Arkansas","10,718"
USA,".Poinsett County, Arkansas","23,528"
USA,".Polk County, Arkansas","19,964"
USA,".Pope County, Arkansas","64,072"
USA,".Prairie County, Arkansas","8,062"
USA,".Pulaski County, Arkansas","391,911"
USA,".Randolph County, Arkansas","17,958"
USA,".St. Francis County, Arkansas","24,994"
USA,".Saline County, Arkansas","122,437"
USA,".Scott County, Arkansas","10,281"
USA,".Searcy County, Arkansas","7,881"
