Country ,County_Province,Population
US,".Autauga County, Alabama","55,869"
US,".Baldwin County, Alabama","223,234"
US,".Barbour County, Alabama","24,686"
US,".Bibb County, Alabama","22,394"
US,".Blount County, Alabama","57,826"
US,".Bullock County, Alabama","10,101"
US,".Butler County, Alabama","19,448"
US,".Calhoun County, Alabama","113,605"
US,".Chambers County, Alabama","33,254"
US,".Cherokee County, Alabama","26,196"
US,".Chilton County, Alabama","44,428"
US,".Choctaw County, Alabama","12,589"
US,".Clarke County, Alabama","23,622"
US,".Clay County, Alabama","13,235"
US,".Cleburne County, Alabama","14,910"
US,".Coffee County, Alabama","52,342"
US,".Colbert County, Alabama","55,241"
US,".Conecuh County, Alabama","12,067"
US,".Coosa County, Alabama","10,663"
US,".Covington County, Alabama","37,049"
US,".Crenshaw County, Alabama","13,772"
US,".Cullman County, Alabama","83,768"
US,".Dale County, Alabama","49,172"
US,".Dallas County, Alabama","37,196"
US,".DeKalb County, Alabama","71,513"
US,".Elmore County, Alabama","81,209"
US,".Escambia County, Alabama","36,633"
US,".Etowah County, Alabama","102,268"
US,".Fayette County, Alabama","16,302"
US,".Franklin County, Alabama","31,362"
US,".Geneva County, Alabama","26,271"
US,".Greene County, Alabama","8,111"
US,".Hale County, Alabama","14,651"
US,".Henry County, Alabama","17,205"
US,".Houston County, Alabama","105,882"
US,".Jackson County, Alabama","51,626"
US,".Jefferson County, Alabama","658,573"
US,".Lamar County, Alabama","13,805"
US,".Lauderdale County, Alabama","92,729"
US,".Lawrence County, Alabama","32,924"
US,".Lee County, Alabama","164,542"
US,".Limestone County, Alabama","98,915"
US,".Lowndes County, Alabama","9,726"
US,".Macon County, Alabama","18,068"
US,".Madison County, Alabama","372,909"
US,".Marengo County, Alabama","18,863"
US,".Marion County, Alabama","29,709"
US,".Marshall County, Alabama","96,774"
US,".Mobile County, Alabama","413,210"
US,".Monroe County, Alabama","20,733"
US,".Montgomery County, Alabama","226,486"
US,".Morgan County, Alabama","119,679"
US,".Perry County, Alabama","8,923"
US,".Pickens County, Alabama","19,930"
US,".Pike County, Alabama","33,114"
US,".Randolph County, Alabama","22,722"
US,".Russell County, Alabama","57,961"
US,".St. Clair County, Alabama","89,512"
US,".Shelby County, Alabama","217,702"
US,".Sumter County, Alabama","12,427"
US,".Talladega County, Alabama","79,978"
US,".Tallapoosa County, Alabama","40,367"
US,".Tuscaloosa County, Alabama","209,355"
US,".Walker County, Alabama","63,521"
US,".Washington County, Alabama","16,326"
US,".Wilcox County, Alabama","10,373"
US,".Winston County, Alabama","23,629"
US,".Aleutians East Borough, Alaska","3,337"
US,".Aleutians West Census Area, Alaska","5,634"
US,".Anchorage Municipality, Alaska","288,000"
US,".Bethel Census Area, Alaska","18,386"
US,".Bristol Bay Borough, Alaska",836
US,".Denali Borough, Alaska","2,097"
US,".Dillingham Census Area, Alaska","4,916"
US,".Fairbanks North Star Borough, Alaska","96,849"
US,".Haines Borough, Alaska","2,530"
US,".Hoonah-Angoon Census Area, Alaska","2,148"
US,".Juneau City and Borough, Alaska","31,974"
US,".Kenai Peninsula Borough, Alaska","58,708"
US,".Ketchikan Gateway Borough, Alaska","13,901"
US,".Kodiak Island Borough, Alaska","12,998"
US,".Kusilvak Census Area, Alaska","8,314"
US,".Lake and Peninsula Borough, Alaska","1,592"
US,".Matanuska-Susitna Borough, Alaska","108,317"
US,".Nome Census Area, Alaska","10,004"
US,".North Slope Borough, Alaska","9,832"
US,".Northwest Arctic Borough, Alaska","7,621"
US,".Petersburg Borough, Alaska","3,266"
US,".Prince of Wales-Hyder Census Area, Alaska","6,203"
US,".Sitka City and Borough, Alaska","8,493"
US,".Skagway Municipality, Alaska","1,183"
US,".Southeast Fairbanks Census Area, Alaska","6,893"
US,".Valdez-Cordova Census Area, Alaska","9,202"
US,".Wrangell City and Borough, Alaska","2,502"
US,".Yakutat City and Borough, Alaska",579
US,".Yukon-Koyukuk Census Area, Alaska","5,230"
US,".Apache County, Arizona","71,887"
US,".Cochise County, Arizona","125,922"
US,".Coconino County, Arizona","143,476"
US,".Gila County, Arizona","54,018"
US,".Graham County, Arizona","38,837"
US,".Greenlee County, Arizona","9,498"
US,".La Paz County, Arizona","21,108"
US,".Maricopa County, Arizona","4,485,414"
US,".Mohave County, Arizona","212,181"
US,".Navajo County, Arizona","110,924"
US,".Pima County, Arizona","1,047,279"
US,".Pinal County, Arizona","462,789"
US,".Santa Cruz County, Arizona","46,498"
US,".Yavapai County, Arizona","235,099"
US,".Yuma County, Arizona","213,787"
US,".Arkansas County, Arkansas","17,486"
US,".Ashley County, Arkansas","19,657"
US,".Baxter County, Arkansas","41,932"
US,".Benton County, Arkansas","279,141"
US,".Boone County, Arkansas","37,432"
US,".Bradley County, Arkansas","10,763"
US,".Calhoun County, Arkansas","5,189"
US,".Carroll County, Arkansas","28,380"
US,".Chicot County, Arkansas","10,118"
US,".Clark County, Arkansas","22,320"
US,".Clay County, Arkansas","14,551"
US,".Cleburne County, Arkansas","24,919"
US,".Cleveland County, Arkansas","7,956"
US,".Columbia County, Arkansas","23,457"
US,".Conway County, Arkansas","20,846"
US,".Craighead County, Arkansas","110,332"
US,".Crawford County, Arkansas","63,257"
US,".Crittenden County, Arkansas","47,955"
US,".Cross County, Arkansas","16,419"
US,".Dallas County, Arkansas","7,009"
US,".Desha County, Arkansas","11,361"
US,".Drew County, Arkansas","18,219"
US,".Faulkner County, Arkansas","126,007"
US,".Franklin County, Arkansas","17,715"
US,".Fulton County, Arkansas","12,477"
US,".Garland County, Arkansas","99,386"
US,".Grant County, Arkansas","18,265"
US,".Greene County, Arkansas","45,325"
US,".Hempstead County, Arkansas","21,532"
US,".Hot Spring County, Arkansas","33,771"
US,".Howard County, Arkansas","13,202"
US,".Independence County, Arkansas","37,825"
US,".Izard County, Arkansas","13,629"
US,".Jackson County, Arkansas","16,719"
US,".Jefferson County, Arkansas","66,824"
US,".Johnson County, Arkansas","26,578"
US,".Lafayette County, Arkansas","6,624"
US,".Lawrence County, Arkansas","16,406"
US,".Lee County, Arkansas","8,857"
US,".Lincoln County, Arkansas","13,024"
US,".Little River County, Arkansas","12,259"
US,".Logan County, Arkansas","21,466"
US,".Lonoke County, Arkansas","73,309"
US,".Madison County, Arkansas","16,576"
US,".Marion County, Arkansas","16,694"
US,".Miller County, Arkansas","43,257"
US,".Mississippi County, Arkansas","40,651"
US,".Monroe County, Arkansas","6,701"
US,".Montgomery County, Arkansas","8,986"
US,".Nevada County, Arkansas","8,252"
US,".Newton County, Arkansas","7,753"
US,".Ouachita County, Arkansas","23,382"
US,".Perry County, Arkansas","10,455"
US,".Phillips County, Arkansas","17,782"
US,".Pike County, Arkansas","10,718"
US,".Poinsett County, Arkansas","23,528"
US,".Polk County, Arkansas","19,964"
US,".Pope County, Arkansas","64,072"
US,".Prairie County, Arkansas","8,062"
US,".Pulaski County, Arkansas","391,911"
US,".Randolph County, Arkansas","17,958"
US,".St. Francis County, Arkansas","24,994"
US,".Saline County, Arkansas","122,437"
